close_time,resistance,support
1659314999999.0,23521.46,23521.46
1659315299999.0,23521.46,23521.46
1659315599999.0,23521.46,23521.46
1659315899999.0,23521.46,23521.46
1659316199999.0,23521.46,23521.46
1659316499999.0,23521.46,23521.46
1659316799999.0,23521.46,23521.46
1659317099999.0,23521.46,23521.46
1659317399999.0,23521.46,23521.46
1659317699999.0,23521.46,23521.46
1659317999999.0,23521.46,23521.46
1659318299999.0,23521.46,23521.46
1659318599999.0,23521.46,23521.46
1659318899999.0,23521.46,23521.46
1659319199999.0,23521.46,23521.46
1659319499999.0,23521.46,23521.46
1659319799999.0,23521.46,23521.46
1659320099999.0,23521.46,23521.46
1659320399999.0,23521.46,23521.46
1659320699999.0,23521.46,23521.46
1659320999999.0,23521.46,23521.46
1659321299999.0,23521.46,23521.46
1659321599999.0,23521.46,23521.46
1659321899999.0,23521.46,23521.46
1659322199999.0,23521.46,23521.46
1659322499999.0,23521.46,23521.46
1659322799999.0,23521.46,23521.46
1659323099999.0,23521.46,23521.46
1659323399999.0,23521.46,23521.46
1659323699999.0,23521.46,23521.46
1659323999999.0,23521.46,23521.46
1659324299999.0,23521.46,23521.46
1659324599999.0,23521.46,23521.46
1659324899999.0,23521.46,23521.46
1659325199999.0,23521.46,23521.46
1659325499999.0,23521.46,23521.46
1659325799999.0,23521.46,23521.46
1659326099999.0,23521.46,23521.46
1659326399999.0,23521.46,23521.46
1659326699999.0,23521.46,23521.46
1659326999999.0,23521.46,23521.46
1659327299999.0,23521.46,23521.46
1659327599999.0,23521.46,23521.46
1659327899999.0,23521.46,23521.46
1659328199999.0,23521.46,23521.46
1659328499999.0,23521.46,23521.46
1659328799999.0,23521.46,23521.46
1659329099999.0,23521.46,23521.46
1659329399999.0,23521.46,23521.46
1659329699999.0,23521.46,23521.46
1659329999999.0,23521.46,23521.46
1659330299999.0,23521.46,23521.46
1659330599999.0,23521.46,23521.46
1659330899999.0,23521.46,23521.46
1659331199999.0,23521.46,23521.46
1659331499999.0,23521.46,23521.46
1659331799999.0,23521.46,23521.46
1659332099999.0,23521.46,23521.46
1659332399999.0,23521.46,23521.46
1659332699999.0,23521.46,23521.46
1659332999999.0,23521.46,23521.46
1659333299999.0,23521.46,23521.46
1659333599999.0,23521.46,23521.46
1659333899999.0,23521.46,23521.46
1659334199999.0,23521.46,23521.46
1659334499999.0,23521.46,23521.46
1659334799999.0,23521.46,23521.46
1659335099999.0,23521.46,23521.46
1659335399999.0,23521.46,23521.46
1659335699999.0,23521.46,23521.46
1659335999999.0,23521.46,23521.46
1659336299999.0,23521.46,23521.46
1659336599999.0,23521.46,23521.46
1659336899999.0,23521.46,23521.46
1659337199999.0,23521.46,23521.46
1659337499999.0,23521.46,23521.46
1659337799999.0,23521.46,23521.46
1659338099999.0,23521.46,23521.46
1659338399999.0,23521.46,23521.46
1659338699999.0,23521.46,23521.46
1659338999999.0,23521.46,23521.46
1659339299999.0,23521.46,23521.46
1659339599999.0,23521.46,23521.46
1659339899999.0,23521.46,23521.46
1659340199999.0,23521.46,23521.46
1659340499999.0,23521.46,23521.46
1659340799999.0,23521.46,23521.46
1659341099999.0,23521.46,23521.46
1659341399999.0,23521.46,23521.46
1659341699999.0,23521.46,23521.46
1659341999999.0,23521.46,23521.46
1659342299999.0,23521.46,23521.46
1659342599999.0,23521.46,23521.46
1659342899999.0,23521.46,23521.46
1659343199999.0,23521.46,23521.46
1659343499999.0,23521.46,23521.46
1659343799999.0,23521.46,23521.46
1659344099999.0,23521.46,23521.46
1659344399999.0,23521.46,23521.46
1659344699999.0,23521.46,23521.46
1659344999999.0,23521.46,23521.46
1659345299999.0,23521.46,23521.46
1659345599999.0,23521.46,23521.46
